(hkl)	BaTiO3	BaSnO3	BaZrO3	SrTiO3
(001)	4.03			
(100)	4.011906007997654	4.119734145599418	4.196462607127759	3.9
(101)	2.838			
(110)	2.8368346803849365	2.913072877805845	2.967366457780964	2.76
(111)	2.314	2.3785264025678443	2.422819593431877	2.25
(002)	2.019			
(200)	1.997	2.059859914032115	2.09825297019009	1.95
(102)	1.802			
(201)	1.79			
(210)	1.786		1.88	1.75
(112)	1.642			
(211)	1.6378653501670235	1.6818516667473564	1.71	1.59
(202)	1.419			
(220)	1.412	1.4555	1.48	1.38
(212)	1.337			
(300)	1.332			1.3
(103)	1.275			
(301)	1.264			
(310)	1.263	1.3017	1.33	1.24
(113)	1.214			
(311)	1.205		1.26	1.18
(222)	1.1569	1.1882	1.21	1.13
(203)	1.1194			
(302)	1.1161			
(320)	1.1082			
(213)	1.0746			
(312)	1.0703			
(321)	1.0679	1.1002	1.12	1.04
(004)	1.0093			
(400)	0.9984	1.0291	1.05	0.98
(104)	0.9784			
(223)	0.9742			
(322)	0.971			
(410)	0.9686			
(114)	0.9506			
(303)	0.9465			
(411)	0.9419			0.92
(313)	0.9208			
(331)	0.9166			0.9
(204)	0.901			
(330)		0.9702	0.99	
(420)		0.9204	0.94	0.87
(332)		0.8776	0.89	0.83
(422)		0.8402	0.86	0.8
(510)		0.8073	0.82	
